agent,env,problem_name,ion_count,op_count,solved,duration,compile_time,actions
ppo_x50_b_fd_l4_same_gamma,0,qv46_0,46,1031,False,,201.46878266334534,
ppo_x50_b_fd_l4_same_gamma,1,qv46_1,46,1032,False,,201.61833262443542,
ppo_x50_b_fd_l4_same_gamma,2,qv46_10,46,1035,False,,202.36142349243164,
ppo_x50_b_fd_l4_same_gamma,3,qv46_11,46,1033,False,,201.82314586639404,
ppo_x50_b_fd_l4_same_gamma,4,qv46_12,46,1030,False,,201.17753744125366,
ppo_x50_b_fd_l4_same_gamma,5,qv46_13,46,1039,False,,202.91914081573486,
ppo_x50_b_fd_l4_same_gamma,6,qv46_14,46,1036,False,,202.46919870376587,
ppo_x50_b_fd_l4_same_gamma,7,qv46_15,46,1037,False,,202.70693349838257,
ppo_x50_b_fd_l4_same_gamma,8,qv46_16,46,1020,False,,199.18505477905273,
ppo_x50_b_fd_l4_same_gamma,9,qv46_17,46,1032,False,,201.6468014717102,
ppo_x50_b_fd_l4_same_gamma,10,qv46_18,46,1040,False,,203.2901005744934,
ppo_x50_b_fd_l4_same_gamma,11,qv46_19,46,1040,False,,203.00458097457886,
ppo_x50_b_fd_l4_same_gamma,12,qv46_2,46,1038,False,,202.39408564567566,
ppo_x50_b_fd_l4_same_gamma,13,qv46_20,46,1034,False,,201.8044114112854,
ppo_x50_b_fd_l4_same_gamma,14,qv46_21,46,1025,False,,199.76170372962952,
ppo_x50_b_fd_l4_same_gamma,15,qv46_22,46,1028,False,,200.49966669082642,
ppo_x50_b_fd_l4_same_gamma,16,qv46_23,46,1032,False,,200.8420810699463,
ppo_x50_b_fd_l4_same_gamma,17,qv46_24,46,1035,False,,202.16472458839417,
ppo_x50_b_fd_l4_same_gamma,18,qv46_25,46,1038,False,,202.53708457946777,
ppo_x50_b_fd_l4_same_gamma,19,qv46_26,46,1038,False,,202.6630642414093,
ppo_x50_b_fd_l4_same_gamma,20,qv46_27,46,1041,False,,203.34448766708374,
