agent,env,problem_name,ion_count,op_count,solved,duration,compile_time,actions
ppo_q50_b_fd_l4,0,qv10_0,10,47,True,204.5,1.3864781856536865,5 5 7 11 9 5 5 10 7 8 11 11 4 5 5 10 7 8 11 11 4 5 5 7 7 11 11 5 5 7 7 11 2 4 9 10 8 8 4 4 10 10 8 8 1 11 5 9 10 7 8 7 8 1 3 7 11 11 5 4 4 5 10 7 7 7 8 11 11 4 5 2 10 8 11 9 8 8 4 4 10 10 7 8 7 8 11 2 4 11 3 5 10 10 7 8 7 8 11 7 10 2 3 5 7 11 4 4 5 7 7 11 4 5 7 7 11 11 4 4 5 5 7 7 11 2 9 4 10 2 6 7 8 4 10 7 8 7 7 7 7 7 11 11 4 5 2 9 7 8 4 11 4 4 4 4 4 4 5 10 10 2 8 9 7 7 7 8 11 1 3 4 4 5 10 10 7 7 8 7 8 4 10 2 10 6 8 11 11 4 5 5 11 2 6 11 11 5 4 4 5 0 9 5 10 7 7 7 8 7 10 10 2 8 4 10 8 6 11 11 5 4 4 5 11 11 2 5 7 9 11 5 5
ppo_q50_b_fd_l4,1,qv10_1,10,47,True,198.25,1.3515942096710205,5 5 7 11 9 5 5 7 7 11 2 11 3 7 11 5 2 7 11 9 5 5 7 7 11 1 9 5 5 0 9 5 10 10 8 8 4 4 10 10 2 8 4 10 8 6 11 11 5 4 5 0 7 10 7 8 4 10 9 8 8 1 11 4 3 4 4 4 4 5 4 0 9 5 10 10 8 8 4 4 10 2 10 7 6 7 8 11 11 4 4 4 5 2 9 5 0 9 10 7 8 7 7 7 8 11 5 4 1 11 5 7 11 5 7 11 9 5 5 0 9 7 7 8 11 4 4 5 10 10 7 2 6 8 4 4 10 10 8 8 4 10 10 8 8 11 2 9 4 5 10 10 8 4 4 4 4 4 5 10 2 7 6 4 10 8 11 4 11 4 5 5 10 7 8 11 11 2 3 5 10 7 8 11 11 4 5 2 9 7 8 4 4 10 7 8 1 4 3 10 10 8 7 8 11 2 3 4 10 10 8 7 7 8 7 7 7 11 11 5 4 5 10 2 7 9 11 5 5
ppo_q50_b_fd_l4,2,qv10_10,10,43,True,189.25,1.4777741432189941,5 5 7 11 3 7 11 5 7 2 11 9 5 5 10 2 7 11 4 9 5 5 7 7 11 11 5 5 0 10 9 8 4 5 10 10 8 8 1 9 4 5 0 9 10 8 7 8 11 4 4 4 4 5 10 7 8 4 10 10 7 8 8 4 10 2 6 11 4 11 2 5 10 7 8 9 4 5 7 7 11 11 5 4 4 4 5 4 4 10 7 10 8 1 4 5 7 11 5 10 9 8 8 4 10 7 7 7 0 7 8 6 11 11 5 5 7 7 11 11 2 5 9 7 11 5 5 10 7 8 11 11 2 3 5 10 7 8 11 11 4 4 5 7 2 10 8 9 8 4 4 10 10 8 7 7 8 4 0 7 6 7 11 11 4 5 5 7 7 11 11 5 2 11 4 5 3 10 10 8 8 4 10 10 2 6 7 8 4 10 2 7 6 7 11 11 5 5 10 7 8 11 11 4 5 2 9 7 8 4 4 10 10 7 2 7 8
ppo_q50_b_fd_l4,3,qv10_11,10,45,True,186.0,2.0436899662017822,5 5 7 9 11 5 5 10 2 7 6 11 11 4 5 5 10 7 8 11 11 4 5 5 7 7 11 11 5 5 7 7 11 4 2 10 9 8 8 4 0 7 7 7 9 7 8 4 10 7 7 11 5 2 9 7 8 11 11 4 4 4 5 5 7 7 11 4 5 10 2 10 9 8 7 8 7 7 7 7 11 5 10 7 7 11 2 5 10 8 11 9 5 5 7 11 2 3 7 11 4 11 5 4 4 4 4 5 7 0 9 8 11 5 10 7 7 7 1 9 5 5 7 7 11 4 5 10 10 2 8 11 5 3 10 10 2 8 6 4 10 7 8 4 4 10 10 8 2 7 9 8 1 9 5 11 4 5 7 1 4 4 3 10 10 8 8 4 10 7 7 10 8 7 8 4 11 2 9 4 5 7 0 6 7 11 11 5 4 4 5 7 11 4 4 4 5 4 4 4 10 10 8 2 7 9 7 7 8 11 4 5 10 10 8 8 4 4 10 10 8 2
ppo_q50_b_fd_l4,4,qv10_12,10,44,True,185.0,1.6730527877807617,5 5 7 9 11 5 5 10 7 8 11 11 4 5 5 0 7 11 5 10 9 8 8 4 10 2 7 6 11 4 4 11 2 5 9 7 8 11 11 5 5 7 7 1 11 9 5 5 10 0 8 9 11 5 5 7 7 11 2 4 9 10 8 7 8 11 2 3 4 10 10 7 7 7 8 8 11 4 2 9 10 8 8 11 2 9 11 4 4 2 5 7 11 4 4 5 3 10 10 7 8 7 7 7 7 8 7 11 1 4 4 5 10 9 8 7 8 11 5 7 11 2 9 11 5 5 7 11 1 3 5 10 10 8 8 4 10 10 7 7 8 8 11 4 5 10 10 8 2 4 3 7 11 5 4 4 4 11 4 5 4 4 4 10 10 8 2 9 7 8 4 4 10 10 8 2 11 5 10 7 6 4 10 7 8 7 8 4 11 4 5 10 10 2 8 4 4 9 4 4 5 7 11 4 4 4 10 8 2
ppo_q50_b_fd_l4,5,qv10_13,10,41,True,171.0,1.2608838081359863,5 5 7 11 3 7 11 5 2 9 7 11 5 5 10 7 8 11 11 4 5 5 7 7 11 11 5 5 7 7 11 4 2 10 9 8 8 11 4 5 10 10 7 8 8 11 4 5 10 10 2 6 7 7 8 1 3 4 11 5 7 7 7 10 2 7 6 7 11 11 2 5 4 4 4 9 4 4 5 7 11 4 4 10 2 8 9 8 4 4 10 10 8 7 8 1 9 8 11 11 4 4 4 2 5 9 7 8 11 4 10 2 6 8 4 10 7 8 4 4 10 10 7 8 8 11 4 5 10 10 2 8 9 4 5 10 7 7 7 8 11 4 11 4 4 2 3 5 10 7 8 7 11 11 4 2 4 5 9 7 8 11 11 5 4 5 7 7 10 2 7 7 10 7 7 7 6 8 11 11 5 5 7 7 11 11 5 5 7 7 11 11 2 3 4 5 7 11 2 4 9 10 8 8
ppo_q50_b_fd_l4,6,qv10_14,10,44,True,189.0,2.1220855712890625,5 5 7 9 11 5 5 10 2 7 11 3 7 11 5 5 10 2 10 7 8 6 11 11 4 4 4 5 5 7 7 11 11 5 5 10 7 8 11 11 5 2 10 8 4 10 6 4 10 8 8 4 10 8 11 4 4 10 8 7 8 1 9 4 4 5 10 7 11 5 5 7 7 11 11 4 5 2 9 7 8 4 4 10 7 8 4 4 10 10 7 7 8 7 8 11 4 2 9 4 4 5 10 7 7 11 4 5 4 5 4 4 4 10 10 2 8 9 7 8 4 10 10 8 7 7 8 11 4 2 3 11 5 10 7 10 8 7 8 11 2 3 4 10 10 8 2 11 5 7 11 9 5 4 5 10 8 4 4 4 4 11 11 2 5 10 7 8 4 10 6 4 10 8 8 10 10 7 8 2 9 4 5 7 11 4 5 0 6 11 4 4 11 4 4 4 2 5 3 10 10 2 6 7 7 7 7 8 11 2 4 10 9 8 7 8
ppo_q50_b_fd_l4,7,qv10_15,10,44,True,194.5,1.031721591949463,5 5 7 9 11 5 5 10 2 7 6 11 11 4 5 5 7 7 11 2 11 3 7 11 5 2 9 7 11 5 5 10 0 8 4 10 7 7 9 8 8 4 10 8 1 4 11 4 5 7 11 9 4 5 5 0 9 7 8 4 4 10 10 7 7 2 7 8 9 4 5 10 10 8 8 11 2 11 4 4 4 4 5 9 10 7 8 7 7 7 8 7 11 2 6 11 11 5 4 4 4 5 10 2 7 6 11 11 4 2 4 5 10 7 8 11 9 5 5 10 7 7 8 4 4 4 10 7 10 8 7 7 8 11 11 5 4 4 4 4 4 5 0 9 5 4 10 10 2 6 7 8 4 10 8 10 10 7 7 8 2 11 3 5 7 11 5 7 11 4 11 5 5 7 11 11 2 3 5 7 10 8 4 10 7 0 9 7 8 7 8 10 2 6 7 11 11 5 4 5 7 11 11 2 4 5 9 7 8 11 11 2 3 5 7 7 11 11 5 2
ppo_q50_b_fd_l4,8,qv10_16,10,42,True,182.25,1.4651029109954834,5 5 7 11 3 7 11 5 2 7 11 9 5 5 7 7 1 11 9 5 5 7 7 11 11 5 5 10 0 8 4 10 7 7 6 8 11 11 5 5 7 7 11 11 5 2 9 7 8 11 11 5 5 7 0 9 7 7 7 7 7 8 4 10 7 7 11 2 5 9 7 8 11 11 2 3 5 7 11 4 4 5 7 11 4 4 4 10 8 2 4 10 8 4 10 7 9 8 8 4 10 8 10 2 6 11 4 11 5 2 11 3 5 10 10 8 7 7 8 4 10 2 7 6 7 11 11 2 3 4 4 4 4 4 4 5 10 7 7 2 9 7 10 8 8 4 11 4 4 5 7 7 11 11 4 5 5 7 7 11 4 2 10 9 8 8 11 4 5 10 10 7 7 2 8 7 7 7 10 6 8 11 11 4 4 5 5 11 5 10 7 7 7 7 8 11 11 4 4 5 4 5 7 11 4 5 4 10 10 8 2 4 9 10 8 8
ppo_q50_b_fd_l4,9,qv10_17,10,40,True,169.5,1.134040355682373,5 5 7 11 9 5 5 10 2 7 11 3 7 11 4 5 7 8 11 11 5 5 7 7 11 11 5 5 10 7 8 11 11 2 5 9 7 8 4 4 10 10 2 8 4 10 9 8 8 1 4 3 7 11 4 5 4 10 10 8 8 11 4 4 5 10 7 10 7 7 7 8 7 7 8 11 5 10 2 6 7 11 11 2 3 5 11 4 4 5 10 10 2 8 11 5 9 4 5 10 7 7 7 7 7 10 7 8 2 11 3 5 7 11 11 5 4 4 4 4 5 7 7 7 10 8 7 11 2 11 4 4 5 4 3 10 10 7 8 8 4 10 2 9 8 4 10 7 8 4 10 7 10 8 2 11 5 7 6 11 11 4 4 5 4 5 4 10 7 11 5 4 5 7 7 11 2 4 3 10 10 2 6 7 7 8 4 10 10 8 2 6 11 11 4 2 4 5
